occurred_at,severity,weather,period,latitude,longitude,description,address
2022-01-05 14:10:00,media,desconocido,dia,4.0997266,-73.659546,Siniestro real Secretaria Movilidad (BUS - MOTO),CARRERA 48 CON CALLE 31 SUR VIA ACACIAS
2022-01-11 18:15:00,baja,desconocido,noche,4.0877859,-73.6675656,Siniestro real Secretaria Movilidad (AUTOMOVIL - TRACTOCAMION),CALLE 49 CON CARRERA 1
2022-01-11 10:20:00,baja,desconocido,dia,4.1312358,-73.6135251,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMION),CARRERA 12A CON CALLE 8
2022-01-07 19:29:00,baja,desconocido,noche,4.13839,-73.635636,Siniestro real Secretaria Movilidad (AUTOMOVIL - BUSETA),AVENIDA 40 CON CARRERA 37
2022-01-11 17:38:00,baja,desconocido,dia,4.144737,-73.6430095,Siniestro real Secretaria Movilidad (MOTO - AUTOMOVIL),CALLE 35 CON CARRERA 42 BARZAL
2022-01-11 13:30:00,baja,desconocido,dia,4.1200204,-73.6289316,Siniestro real Secretaria Movilidad (CAMIONETA - TAXI),CARRERA 32 CON CALLE 4
2022-01-10 14:05:00,media,desconocido,dia,4.1570009,-73.6522288,Siniestro real Secretaria Movilidad (AUTOMOVIL - MOTO),CALLE 44 CON CARRERA 47
2022-01-08 18:00:00,media,desconocido,noche,4.1471055,-73.6163191,Siniestro real Secretaria Movilidad (MOTO - MOTO),CALLE 35 CON CARRERA 16A
2022-01-11 16:40:00,baja,desconocido,dia,4.1311658,-73.5894322,Siniestro real Secretaria Movilidad (CAMIONETA - MOTO),CARRERA 14 CON CALLE 26B PINILLA
2022-01-10 11:55:00,media,desconocido,dia,4.1137959,-73.5836309,Siniestro real Secretaria Movilidad (MOTO - BICICLETA),CARRERA 19 CON CALLE 25
2022-01-13 10:00:00,baja,desconocido,dia,4.2590361,-73.5615301,Siniestro real Secretaria Movilidad (CAMION - TAXI),CALLE 7 CON CARRERA 1
2022-01-11 10:21:00,baja,desconocido,dia,4.1041709,-73.6568307,Siniestro real Secretaria Movilidad (CAMION - AUTOMOVIL),CARRERA 48 CON CALLE 25 SUR
2022-01-13 13:40:00,baja,desconocido,dia,4.1220266,-73.6320123,Siniestro real Secretaria Movilidad (TAXI - AUTOMOVIL),CALLE 6 SUR CON CARRERA 34
2022-01-12 20:30:00,baja,desconocido,noche,4.1361748,-73.6317081,Siniestro real Secretaria Movilidad (TAXI - AUTOMOVIL),CARRERA 36 CON CALLE 22
2022-01-12 08:13:00,media,desconocido,dia,4.138274,-73.6246591,Siniestro real Secretaria Movilidad (MOTO - AUTOMOVIL),CALLE 21 SUR CON CARRERA 21 CHORILLANO
2022-01-14 14:40:00,baja,desconocido,dia,4.2699263,-73.4842289,Siniestro real Secretaria Movilidad (AUTOMOVIL - TAXI),CARRERA 16 CON CALLE 12
2022-01-15 09:23:00,baja,desconocido,dia,4.1454145,-73.6053542,Siniestro real Secretaria Movilidad (TAXI - TAXI),CALLE 36 CON CARRERA 5
2022-01-15 13:45:00,baja,desconocido,dia,4.135039,-73.627307,Siniestro real Secretaria Movilidad (MICROBUS - AUTOMOVIL - CAMIONETA),CARRERA 33 CON CALLE 18 BARRIO LA FLORIDA
2022-01-16 13:19:00,baja,desconocido,dia,4.121827,-73.64768,Siniestro real Secretaria Movilidad (TAXI - AUTOMOVIL),CALLE 5 SUR CON CARRERA 51
2022-01-13 14:38:00,baja,desconocido,dia,4.1310911,-73.6376851,Siniestro real Secretaria Movilidad (TAXI - MICROBUS),CARRERA 48 CON CALLE 12-24
2022-01-17 11:34:00,baja,desconocido,dia,4.1502802,-73.635783,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMPERO),CALLE 36 CON CARRERA 30
2022-01-17 11:30:00,baja,desconocido,dia,4.1470811,-73.6388111,Siniestro real Secretaria Movilidad (CAMIONETA - TAXI),CALLE 35 CON CARRERA 36
2022-01-15 11:43:00,media,desconocido,dia,4.1405198,-73.6181096,Siniestro real Secretaria Movilidad (MOTO - MOTO),CALLE 25 CON CARRERA 16B
2022-01-15 13:00:00,baja,desconocido,dia,4.110086,-73.6325048,Siniestro real Secretaria Movilidad (AUTOMOVIL - TAXI),DIAGONAL 6 SUR CON CALLE 5A SUR
2022-01-11 16:29:00,baja,desconocido,dia,4.150076,-73.636654,Siniestro real Secretaria Movilidad (CAMIONETA - AUTOMOVIL),CALLE 36 CON CARRERA 31A
2022-01-15 14:36:00,media,desconocido,dia,4.1001215,-73.6476401,Siniestro real Secretaria Movilidad (BICICLETA - MOTO),CARRERA 38 CON CALLE 26A GUATAPE II
2022-01-17 07:24:00,media,desconocido,dia,4.1470849,-73.6447028,Siniestro real Secretaria Movilidad (BUSETA - BUSETA - MOTO),CARRERA 43 CON CALLE 39
2022-01-19 07:28:00,baja,desconocido,dia,4.1432912,-73.6513704,Siniestro real Secretaria Movilidad (AUTOMOVIL),CALLE 35 CON CARRERA 52
2022-01-19 10:40:00,baja,desconocido,dia,4.1021308,-73.6523811,Siniestro real Secretaria Movilidad (CAMIONETA - MOTO),CALLE 25 CON CARRERA 43
2022-02-18 06:28:00,baja,desconocido,dia,4.147806,-73.6192101,Siniestro real Secretaria Movilidad (AUTOMOVIL - POSTE),CALLE 35 ESTE CON CARRERA 19
2022-01-21 12:08:00,baja,desconocido,dia,4.13839,-73.635636,Siniestro real Secretaria Movilidad (CAMION - AUTOMOVIL),AVENIDA 40 CON CARRERA 37
2022-01-21 11:40:00,baja,desconocido,dia,4.1378001,-73.6087634,Siniestro real Secretaria Movilidad (MOTO - AUTOMOVIL),CALLE 21 SUR CON CARRERA 8 ESTE
2022-01-21 08:10:00,baja,desconocido,dia,4.1306588,-73.6193172,Siniestro real Secretaria Movilidad (TAXI - CAMION),CALLE 8 CON CARRERA 19
2022-01-23 13:34:00,baja,desconocido,dia,4.1334538,-73.6296102,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMIONETA),CARRERA 36 CON CALLE 17 SUR
2022-01-15 22:00:00,media,desconocido,noche,4.0773501,-73.6694152,Siniestro real Secretaria Movilidad (MOTO),CARRERA 43 CON CALLE 66
2022-01-23 16:20:00,baja,desconocido,dia,4.1061699,-73.6562067,Siniestro real Secretaria Movilidad (CAMIONETA - AUTOMOVIL),CARRERA 48 CON CALLE 23 SUR  
2022-01-20 13:30:00,media,desconocido,dia,4.1305959,-73.5906516,Siniestro real Secretaria Movilidad (BICICLETA - TAXI),CALLE 25A CON CARRERA 13A
2022-01-24 16:34:00,baja,desconocido,dia,4.2636481,-73.5555006,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMIONETA),CALLE 19 CON CARRERA 1
2022-01-24 12:05:00,baja,desconocido,dia,4.1360083,-73.6386976,Siniestro real Secretaria Movilidad (CAMION - CAMIONETA),CALLE 19 CON CARRERA 40
2022-01-20 20:08:00,media,desconocido,noche,4.1310911,-73.6376851,Siniestro real Secretaria Movilidad (BUSETA),CARRERA 48 CON CALLE 12 SUR PLAYA RIKA
2022-01-24 20:53:00,baja,desconocido,noche,4.1586324,-73.6388817,Siniestro real Secretaria Movilidad (MOTO - MOTO),CARRERA 30 CON CALLE 45
2022-01-23 07:25:00,baja,desconocido,dia,4.1416383,-73.6237134,Siniestro real Secretaria Movilidad (MICROBUS - CAMION),CARRERA 21 CON CALLE 25 
2022-01-24 20:04:00,baja,desconocido,noche,4.135641,-73.6277725,Siniestro real Secretaria Movilidad (AUTOMOVIL - TAXI),CARRERA 33 CON CALLE 20
2022-01-25 17:30:00,baja,desconocido,dia,4.138076,-73.630788,Siniestro real Secretaria Movilidad (CAMPERO - CAMIONETA),CALLE 23 CON CARRERA 34 SAN BENITO
2022-01-20 10:50:00,media,desconocido,dia,4.139285,-73.636117,Siniestro real Secretaria Movilidad (BICICLETA - PEATON),CARRERA 37 CON CALLE 26 SUR
2022-01-25 12:17:00,baja,desconocido,dia,4.134344,-73.627109,Siniestro real Secretaria Movilidad (CAMPERO - BUSETA),CARRERA 33 CON CALLE 17A
2022-01-23 21:30:00,media,desconocido,noche,4.136734,-73.640852,Siniestro real Secretaria Movilidad (MOTO - MOTO),CARRERA 42 ESTE CON CALLE 19
2022-01-22 12:00:00,media,desconocido,dia,4.1408162,-73.6316389,Siniestro real Secretaria Movilidad (MOTO - CAMIONETA),CARRERA 33 CON CALLE 25
2022-01-27 13:45:00,baja,desconocido,dia,4.1038024,-73.6576372,Siniestro real Secretaria Movilidad (TRACTOCAMION - AUTOMOVIL),CARRERA 48 CON CALLE 26
2022-01-24 19:42:00,media,desconocido,noche,4.1161982,-73.6484181,Siniestro real Secretaria Movilidad (MOTO - PEATON),CARRERA 48 CON CALLE 11
2022-01-28 09:40:00,baja,desconocido,dia,4.1513249,-73.6377146,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),CALLE 38 CON CARRERA 32
2022-01-27 15:40:00,baja,desconocido,dia,4.1337145,-73.6271866,Siniestro real Secretaria Movilidad (AUTOMOVIL - MOTO),CARRERA 33 CON CALLE 17 FLORIDA
2022-01-28 09:30:00,baja,desconocido,dia,4.143165,-73.6182117,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),CARRERA 17 SUR CON CALLE 28 ESTE
2022-01-28 15:44:00,baja,desconocido,dia,4.1061699,-73.6562067,Siniestro real Secretaria Movilidad (CAMION - AUTOMOVIL),CARRERA 48 CON CALLE 23
2022-01-12 06:57:00,media,desconocido,dia,4.1463602,-73.605847,Siniestro real Secretaria Movilidad (AUTOMOVIL - MOTO),CALLE 37 CON CARRERA 6
2022-01-27 07:54:00,alta,desconocido,dia,4.147806,-73.6192101,Siniestro real Secretaria Movilidad (BICICLETA - MOTO),CALLE 35 CON CARRERA 19
2022-01-21 09:47:00,media,desconocido,dia,4.1350071,-73.6157737,Siniestro real Secretaria Movilidad (NN),CALLE 14 CON CARRERA 14
2022-01-24 04:44:00,media,desconocido,noche,4.1251163,-73.6196799,Siniestro real Secretaria Movilidad (MOTO - MICROBUS),CARRERA 22 CON CALLE 4D
2022-01-28 19:52:00,media,desconocido,noche,4.1503119,-73.6236265,Siniestro real Secretaria Movilidad (AUTOMOVIL - PEATON),CARRERA 20E CON CALLE 36A
2022-01-29 03:23:00,media,desconocido,noche,4.125827,-73.6202233,Siniestro real Secretaria Movilidad (MOTO - POSTE),CARRERA 22 CON CALLE 5
2022-01-28 21:50:00,media,desconocido,noche,4.1501163,-73.6153111,Siniestro real Secretaria Movilidad (MOTO - CAIDA OCUPANTE),CARRERA 15 ESTE CON CALLE 38
2022-01-31 06:40:00,baja,desconocido,dia,4.1467185,-73.6125124,Siniestro real Secretaria Movilidad (CAMION - TAXI),CALLE 35 CON CARRERA 13
2022-01-28 16:23:00,alta,desconocido,dia,4.1069691,-73.6479544,Siniestro real Secretaria Movilidad (AUTOMOVIL - MOTO),CARRERA 40 CON CALLE 17A SUR
2022-02-01 12:00:00,baja,desconocido,dia,4.1289968,-73.5862983,Siniestro real Secretaria Movilidad (TAXI - MOTO),CARRERA 19 CON CALLE 23A
2022-02-01 09:05:00,baja,desconocido,dia,4.1407943,-73.6361018,Siniestro real Secretaria Movilidad (CAMIONETA - CAMIONETA),CARRERA 36A CON CALLE 26C
2022-01-30 18:18:00,baja,desconocido,noche,4.148084,-73.6196412,Siniestro real Secretaria Movilidad (CAMIONETA - CAMIONETA),CALLE 35 CON CARRERA 19A
2022-01-28 19:10:00,media,desconocido,noche,4.1090591,-73.6546729,Siniestro real Secretaria Movilidad (CAMIONETA - PEATON),CARRERA 48 CON CALLE 19 SUR
2022-01-29 09:18:00,baja,desconocido,dia,4.1256966,-73.6260089,Siniestro real Secretaria Movilidad (CAMIONETA - INMUEBLE),CALLE 10 SUR CON CARRERA 25
2022-01-30 17:28:00,alta,desconocido,dia,4.147806,-73.6192101,Siniestro real Secretaria Movilidad (MOTO - MOTO),CALLE 35 CON CARRERA 19
2022-01-31 19:05:00,media,desconocido,noche,4.1342409,-73.6363411,Siniestro real Secretaria Movilidad (MOTO - AUTOMOVIL),AVENIDA 40 CON CALLE 16 SUB NIVEL VILLACENTRO
2022-02-01 12:37:00,baja,desconocido,dia,4.0769395,-73.6694194,Siniestro real Secretaria Movilidad (AUTOMOVIL - VIVIENDA),CARRERA 43 CON CALLE 67
2022-02-02 11:12:00,baja,desconocido,dia,4.147999,-73.635912,Siniestro real Secretaria Movilidad (CAMIONETA - TAXI),CALLE 34A CON CARRERA 31A
2022-02-03 08:38:00,baja,desconocido,dia,4.1434141,-73.6112112,Siniestro real Secretaria Movilidad (AUTOMOVIL - MOTO),CARRERA 11 CON CALLE 31
2022-02-01 17:08:00,media,desconocido,dia,4.15293,-73.631772,Siniestro real Secretaria Movilidad (MOTO - MOTO),CALLE 37D CON CARRERA 26 SAN ISIDRIO
2022-02-06 23:52:00,baja,desconocido,noche,4.1321659,-73.6147002,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMIONETA),CALLE 10 CON CARRERA 12C
2022-02-07 18:01:00,baja,desconocido,noche,4.1365377,-73.6357704,Siniestro real Secretaria Movilidad (CAMIONETA - BUSETA),AVENIDA 40 CON CALLE 23
2022-02-06 22:21:00,baja,desconocido,noche,4.1392426,-73.5880286,Siniestro real Secretaria Movilidad (AUTOMOVIL - MOTO),CARRERA 16 CON CALLE 36
2022-02-07 13:10:00,baja,desconocido,dia,4.1150055,-73.5838329,Siniestro real Secretaria Movilidad (CAMIONETA - CAMIONETA),CALLE 23 CON CARRERA 19A
2022-02-04 10:51:00,baja,desconocido,dia,4.1231286,-73.6236301,Siniestro real Secretaria Movilidad (TAXI),CALLE 5 SUR CON CARRERA 26
2022-02-03 16:00:00,media,desconocido,dia,4.1283189,-73.6382152,Siniestro real Secretaria Movilidad (MOTO - MOTO),AVENIDA 40 CON CALLE 9
2022-02-06 16:17:00,alta,desconocido,dia,4.1469331,-73.6173486,Siniestro real Secretaria Movilidad (MOTO - PEATON),CALLE 34A CON CARRERA 17 ESTE
2022-02-03 21:09:00,baja,desconocido,noche,4.0762135,-73.6694298,Siniestro real Secretaria Movilidad (CAMIONETA - MOTO - MOTO),CARRERA 43 CON CALLE 69 SUR
2022-02-08 16:00:00,baja,desconocido,dia,4.0997266,-73.659546,Siniestro real Secretaria Movilidad (MICROBUS - TRACTOCAMION),CARRERA 48 SUR CON CALLE 31
2022-02-03 14:06:00,media,desconocido,dia,4.1496274,-73.6069648,Siniestro real Secretaria Movilidad (MOTO - PEATON),CALLE 40 CON CARRERA 7C
2022-02-07 08:14:00,media,desconocido,dia,4.1416383,-73.6237134,Siniestro real Secretaria Movilidad (MOTO - CAMPERO),CALLE 25 CON CARRERA 21 BARRIO CANEY
2022-02-03 22:16:00,media,desconocido,noche,4.1395698,-73.6352973,Siniestro real Secretaria Movilidad (CAMIONETA - MOTO),AVENIDA 40 CON CALLE 26
2022-02-06 07:42:00,media,desconocido,dia,4.1041709,-73.6568307,Siniestro real Secretaria Movilidad (MOTO - MOTO),CARRERA 48 CON CALLE 25 SUR
2022-02-10 00:29:00,media,desconocido,noche,4.1149086,-73.6081511,Siniestro real Secretaria Movilidad (TAXI - MOTO),CARRERA 22 CON CALLE 10
2022-02-07 15:00:00,media,desconocido,dia,4.1301508,-73.5862481,Siniestro real Secretaria Movilidad (CAMIONETA - MOTO),CALLE 26 CON CARRERA 19
2022-01-29 10:40:00,media,desconocido,dia,4.150076,-73.636654,Siniestro real Secretaria Movilidad (AUTOMOVIL -TRACCION ANIMAL),CALLE 36 CON CARRERA 31A
2022-02-04 06:19:00,alta,desconocido,dia,4.1385316,-73.6378048,Siniestro real Secretaria Movilidad (MOTO - BICICLETA),CARRERA 39 CON CALLE 24
2022-02-12 14:12:00,media,desconocido,dia,4.146282,-73.6121013,Siniestro real Secretaria Movilidad (TAXI - MOTO),CALLE 35 CON CARRERA 12 ESTE
2022-02-15 10:31:00,baja,desconocido,dia,4.1490628,-73.6365192,Siniestro real Secretaria Movilidad (CAMIONETA - MOTO),CALLE 35 CON CARRERA 30
2022-02-15 11:32:00,baja,desconocido,dia,4.1402611,-73.6354135,Siniestro real Secretaria Movilidad (CAMION - AUTOMOVIL),CALLE 26B CON CARRERA 35
2022-02-14 08:40:00,alta,desconocido,dia,4.1374445,-73.5890932,Siniestro real Secretaria Movilidad (MOTO - MOTO),CALLE 35 CON CARRERA 15 ESTE
2022-02-17 12:00:00,baja,desconocido,dia,4.1619547,-73.6396949,Siniestro real Secretaria Movilidad (CAMIONETA - MOTO),CALLE 48 CON CARRERA 30
2022-02-17 11:06:00,baja,desconocido,dia,4.1361748,-73.6317081,Siniestro real Secretaria Movilidad (CAMIONETA - AUTOMOVIL),CARRERA 36 CON CALLE 22
2022-02-18 18:50:00,baja,desconocido,noche,4.129308,-73.612276,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),CALLE 5 CON CARRERA 11
2022-02-18 15:15:00,baja,desconocido,dia,4.1382558,-73.5808153,Siniestro real Secretaria Movilidad (CAMIONETA - TAXI),CALLE 36 CON CARRERA 23
2022-02-16 13:30:00,baja,desconocido,dia,4.1258673,-73.6332132,Siniestro real Secretaria Movilidad (AUTOMOVIL - OBJETO FIJO PUENTE),CALLE 9 SUR CON CARRERA 40
2022-02-17 15:30:00,baja,desconocido,dia,4.1298447,-73.638292,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),AVENIDA 40 CON CALLE 11
2022-02-17 13:28:00,baja,desconocido,dia,4.1591537,-73.6441832,Siniestro real Secretaria Movilidad (AUTOMOVIL - TRACTOCAMION),CALLE 44 CON CARRERA 35C
2022-02-16 19:53:00,media,desconocido,noche,4.1383448,-73.6251878,Siniestro real Secretaria Movilidad (AUTOMOVIL - MOTO),CARRERA 22 CON CALLE 21 SUR CHORILLANO 
2022-02-21 20:22:00,baja,desconocido,noche,4.130372,-73.5917658,Siniestro real Secretaria Movilidad (BUSETA - MOTO),CALLE 25 CON CARRERA 12
2022-02-19 15:50:00,baja,desconocido,dia,4.2623203,-73.5567876,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),CARRERA 1 CON CALLE 15 
2022-02-17 15:49:00,media,desconocido,dia,4.128401,-73.5863101,Siniestro real Secretaria Movilidad (AUTOMOVIL - BICICLETA),CALLE 21 CON CARRERA 19
2022-02-20 21:50:00,media,desconocido,noche,4.1436188,-73.6347283,Siniestro real Secretaria Movilidad (MOTO - TAXI),AVENIDA 40 CON CALLE 31
2022-02-16 22:23:00,media,desconocido,noche,4.1338063,-73.5859408,Siniestro real Secretaria Movilidad (MOTO - MOTO),CARRERA 19 CON CALLE 31
2022-02-23 15:26:00,baja,desconocido,dia,4.1477159,-73.6367237,Siniestro real Secretaria Movilidad (CAMPERO - MICROBUS),CARRERA 33 CON CALLE 34A
2022-02-22 16:39:00,baja,desconocido,dia,4.1458205,-73.6421437,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMIONETA),CALLE 37 CON CARRERA 41 BARZAL
2022-02-22 13:44:00,baja,desconocido,dia,4.1474403,-73.6179242,Siniestro real Secretaria Movilidad (CAMPERO - TAXI - BUSETA),CALLE 35 CON CARRERA 17B
2022-02-21 10:10:00,baja,desconocido,dia,4.1016319,-73.6582435,Siniestro real Secretaria Movilidad (AUTOMOVIL - BUSETA),CARRERA 48 CON CALLE 29 SUR CAMINOS DE MONTECARLO
2022-02-20 04:25:00,baja,desconocido,noche,4.1023003,-73.6156693,Siniestro real Secretaria Movilidad (CAMIONETA - POSTE),CALLE 21 SUR CON CARRERA 24
2022-02-21 08:10:00,baja,desconocido,dia,4.1394999,-73.6344196,Siniestro real Secretaria Movilidad (TAXI - AUTOMOVIL),CARRERA 36 CON CALLE 26B SUR
2022-02-22 07:05:00,baja,desconocido,dia,4.1374445,-73.5890932,Siniestro real Secretaria Movilidad (VOLQUETA - AUTOMOVIK),CALLE 35 CON CARRERA 15 ESTE
2022-02-20 00:00:00,media,desconocido,noche,4.147806,-73.6192101,Siniestro real Secretaria Movilidad (TAXI - MOTO),CALLE 35 CON CARRERA 19
2022-02-21 22:34:00,media,desconocido,noche,4.137877,-73.629476,Siniestro real Secretaria Movilidad (TAXI - MOTO),CARRERA 22 CON CALLE 22
2022-02-20 16:54:00,media,desconocido,dia,4.1422908,-73.6161204,Siniestro real Secretaria Movilidad (MOTO - BICICLETA),CALLE 27 CON CARRERA 15 ESTE
2022-02-20 02:48:00,media,desconocido,noche,4.128401,-73.5863101,Siniestro real Secretaria Movilidad (MOTO - PEATON),CALLE 21 SUR CON CARRERA 19
2022-02-23 22:36:00,baja,desconocido,noche,4.1245254,-73.6191167,Siniestro real Secretaria Movilidad (MOTO - MOTO),CARRERA 22 CON CALLE 4 VIA PUERTO LOPEZ
2022-02-23 09:04:00,baja,desconocido,dia,4.1479831,-73.6416004,Siniestro real Secretaria Movilidad (AUTOMOVIL - CAMIONETA),CARRERA 38 CON CALLE 37C
2022-02-23 17:10:00,media,desconocido,dia,4.131809,-73.617761,Siniestro real Secretaria Movilidad (MOTO - MOTO),CALLE 9 CON CARRERA 15A
2022-02-26 13:18:00,baja,desconocido,dia,4.1090591,-73.6546729,Siniestro real Secretaria Movilidad (AUTOMOVIL - VOLQUETA),CARRERA 48 SUR CON CALLE 19 SUR
2022-02-23 07:30:00,baja,desconocido,dia,4.1276385,-73.6387959,Siniestro real Secretaria Movilidad (AUTOMOVIL - MICROBUS),CARRERA 48 CON CALLE 7 ESPERANZA
2022-02-27 14:30:00,baja,desconocido,dia,4.1183796,-73.5960386,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),CARRERA 12 CON CALLE 15
2022-02-26 14:27:00,baja,desconocido,dia,4.1383448,-73.6251878,Siniestro real Secretaria Movilidad (VOLQUETA - AUTOMOVIK),CARRERA 22 CON CALLE 21 SUR CHORILLANO 
2022-02-28 08:22:00,baja,desconocido,dia,4.1226738,-73.6296313,Siniestro real Secretaria Movilidad (TAXI - TAXI),CALLE 6 CON CARRERA 32
2022-02-26 14:14:00,baja,desconocido,dia,4.102968,-73.6528492,Siniestro real Secretaria Movilidad (CAMIONETA - CAMION),CALLE 24A CON CARRERA 44 ROCHELA
2022-02-26 00:06:00,baja,desconocido,noche,4.1579842,-73.6395068,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),CALLE 44 CON CARRERA 31
2022-02-27 14:50:00,media,desconocido,dia,4.146282,-73.6121013,Siniestro real Secretaria Movilidad (MOTO),CARRERA 12 CON CALLE 35
2022-03-02 16:36:00,baja,desconocido,dia,4.1403826,-73.6372707,Siniestro real Secretaria Movilidad (TAXI - CAMPERO),CARRERA 38 CON CALLE 26C 
2022-03-01 08:27:00,baja,desconocido,dia,4.1520615,-73.6399433,Siniestro real Secretaria Movilidad (AUTOMOVIL - BUSETA),CALLE 40 CON CARRERA 33A
2022-03-01 15:53:00,baja,desconocido,dia,4.1304908,-73.6171982,Siniestro real Secretaria Movilidad (CAMION - AUTOMOVIL),CALLE 6 CON CARRERA 16
2022-02-24 10:16:00,media,desconocido,dia,4.0977366,-73.6406144,Siniestro real Secretaria Movilidad (CAMIONETA - CAMION),CARRERA 33 CON CALLE 31
2022-02-28 20:06:00,media,desconocido,noche,4.2593625,-73.5597698,Siniestro real Secretaria Movilidad (MOTO - BICICLETA),CARRERA 1 CON CALLE 10
2022-03-03 07:16:00,baja,desconocido,dia,4.146282,-73.6121013,Siniestro real Secretaria Movilidad (AUTOMOVIL - AUTOMOVIL),CALLE 35 CON CARRERA 12 ESTE
2022-03-03 17:30:00,baja,desconocido,dia,4.1335296,-73.6267637,Siniestro real Secretaria Movilidad (AUTOMOVIL - TRACTOCAMION),CARRERA 22 CON CALLE 16 SUT
2022-03-02 20:02:00,media,desconocido,noche,4.11995,-73.5636471,Siniestro real Secretaria Movilidad (MOTO - TAXI),CARRERA 42 ESTE CON CALLE 14
2022-02-26 10:35:00,baja,desconocido,dia,4.153799,-73.636784,Siniestro real Secretaria Movilidad (TAXI - AUTOMOVIL),CALLE 40 CON CARRERA 30 CENTRO
2022-03-03 07:25:00,baja,desconocido,dia,4.1375851,-73.6358749,Siniestro real Secretaria Movilidad (CAMIONETA - MICROBUS),AVENIDA 40 CON CARRERA 38
2022-03-05 11:21:00,baja,desconocido,dia,4.1182557,-73.6284592,Siniestro real Secretaria Movilidad (CAMIONETA - AUTOMOVIL),CALLE 3 C CON CARRERA 32
2022-03-04 08:36:00,baja,desconocido,dia,4.098685,-73.6392093,Siniestro real Secretaria Movilidad (AUTOMOVIL - BUSETA),CALLE 31 CON CARRERA 31
2022-03-05 05:32:00,baja,desconocido,noche,4.131674,-73.637986,Siniestro real Secretaria Movilidad (MOTO - MOTO),AVENIDA 40 CON CALLE 12B
2022-03-05 15:49:00,baja,desconocido,dia,4.137288,-73.5873565,Siniestro real Secretaria Movilidad (AUTOMOVIL - TRACTOCAMION),CALLE 35 CON CARRERA 17 
